Observed;Simulated
0.6840773;0.373513
0.6792606;0.372132
0.6744611;0.370757
0.6687431;0.369386
0.6526824;0.368019
0.6268767;0.366655
0.548612;0.365295
0.4734854;0.363943
0.4499622;0.362599
0.4484772;0.361265
0.4484772;0.359937
0.4484772;0.358614
0.4484772;0.357297
0.4484772;0.355986
0.4507;0.354681
0.453673;0.353381
0.454417;0.352087
0.4559144;0.350799
0.4611597;0.349517
0.4664486;0.348241
0.5047978;0.346971
0.5247098;0.345706
0.5370463;0.344446
0.5395252;0.343192
0.541194;0.341943
0.5420267;0.3407
0.5420235;0.339461
0.5395252;0.338227
0.5386956;0.336999
0.5312588;0.335776
0.5263334;0.334558
0.5198132;0.333346
0.5133444;0.332138
0.5077243;0.330936
0.5069237;0.329739
0.5045315;0.328548
0.5045315;0.327361
0.5045315;0.326179
0.5061263;0.325003
0.5069237;0.323831
0.5069237;0.322665
0.5069237;0.321503
0.5077243;0.320347
0.5101261;0.319195
0.5109299;0.318049
0.5141482;0.316907
0.5189998;0.31577
0.5222502;0.314638
0.5230637;0.313511
0.5230637;0.312389
0.5222502;0.311272
0.5214368;0.310159
0.51981;0.309051
0.51981;0.307948
0.51981;0.306849
0.51981;0.305756
0.51981;0.304667
0.51981;0.303582
0.51981;0.302502
0.51981;0.301427
0.51981;0.300356
0.51981;0.29929
0.51981;0.298229
0.51981;0.297172
0.5206234;0.296119
0.5198132;0.295071
0.5189998;0.294028
0.51981;0.292989
0.51981;0.291987
0.51981;0.291087
0.5189998;0.290338
0.5165692;0.289728
0.5165692;0.289137
0.5165692;0.288382
0.5165692;0.287393
0.5165692;0.286232
0.5165692;0.285052
0.5133444;0.283989
0.5101261;0.282984
0.5133476;0.281927
0.5077243;0.280798
0.5069237;0.279616
0.5069237;0.278451
0.5069237;0.277348
0.5045315;0.276275
0.5037341;0.275228
0.5013514;0.274205
0.5005572;0.273206
0.5005572;0.272225
0.5005572;0.271258
0.4997661;0.270298
0.4973929;0.269346
0.4973929;0.268402
0.4973929;0.267467
0.5005635;0.266538
0.4973929;0.265616
0.4950293;0.264697
0.4942414;0.263782
0.4942414;0.262871
0.4934568;0.261963
0.4911026;0.26106
0.4911026;0.26016
0.490321;0.259264
0.4879764;0.258372
0.4871981;0.257484
0.4848629;0.256599
0.4848629;0.255719
0.4825372;0.254841
0.4817619;0.253968
0.4817619;0.253098
0.4817619;0.252232
0.4817619;0.251369
0.4802178;0.25051
0.4802178;0.249655
0.4817619;0.248803
0.4817619;0.247955
0.4817619;0.24711
0.4817714;0.246269
0.4833155;0.245431
0.4794456;0.244597
0.4809898;0.243767
0.4809898;0.242939
0.4786736;0.242116
0.4786736;0.241295
0.4786736;0.240479
0.4786736;0.239665
0.4794488;0.238855
0.4755977;0.238048
0.4748319;0.237245
0.4725345;0.236445
0.4725345;0.235649
0.4702464;0.234855
0.4694837;0.234065
0.4694837;0.233279
0.4702464;0.232495
0.4702464;0.231798
0.4694837;0.231297
0.4694837;0.231097
0.4694837;0.231265
0.4694837;0.231708
0.4694837;0.23233
0.4679677;0.233427
0.4634198;0.235306
0.4664517;0.238268
0.4634198;0.242081
0.4634198;0.245401
0.4634198;0.246986
0.4634198;0.246238
0.4611597;0.24342
0.4596562;0.24003
0.4574055;0.237137
0.4574055;0.234674
0.4574055;0.232473
0.4574055;0.229803
0.4574055;0.226743
0.4551641;0.223728
0.454417;0.221159
0.454417;0.219054
0.454417;0.217259
0.454417;0.215732
0.4499622;0.21444
0.4477393;0.213341
0.4455259;0.212373
0.4433216;0.211483
0.4418551;0.210768
0.4396601;0.210446
0.4374743;0.21081
0.4367456;0.211978
0.4367456;0.213564
0.4352976;0.214827
0.4309535;0.215048
0.430234;0.213917
0.4280757;0.211879
0.4259265;0.209627
0.4252101;0.207615
0.4252101;0.206022
0.4244968;0.204652
0.4223567;0.20345
0.4195185;0.202373
0.4131742;0.201381
0.4082716;0.200448
0.4061861;0.199562
0.4054909;0.198726
0.4047986;0.197947
0.4006545;0.197229
0.3979067;0.196558
0.3979067;0.195916
0.3999653;0.195287
0.3999653;0.19466
0.3999653;0.194035
0.3999653;0.193413
0.3999653;0.192794
0.3992791;0.192177
0.3985929;0.191562
0.3965373;0.19095
0.3910954;0.19034
0.3836783;0.189733
0.3776838;0.189127
0.3678234;0.188523
0.3549404;0.187923
0.3321323;0.187325
0.306796;0.18673
0.3161768;0.186137
0.3239378;0.185547
0.3281702;0.184959
0.3348834;0.184373
0.3348834;0.18379
0.3652088;0.18321
0.3652088;0.182632
0.3652088;0.182056
0.3652088;0.181483
0.3678146;0.180912
0.369119;0.180343
0.3743744;0.179777
0.3756905;0.179213
0.3756905;0.178651
0.373712;0.17809
0.3697785;0.177532
0.3626207;0.176976
0.3568372;0.176423
0.3498396;0.175872
0.3417024;0.175323
0.3330411;0.174777
0.320977;0.174233
0.3149874;0.173691
0.3062139;0.173151
0.3033034;0.172613
0.2998525;0.172077
0.2992788;0.171544
0.2992788;0.171013
0.2992788;0.170483
0.2992788;0.169956
0.301;0.169431
0.3021503;0.168908
0.3061999;0.168388
0.3126338;0.167869
0.3179539;0.167352
0.3257858;0.166838
0.3373446;0.166325
0.3373446;0.165815
0.3379634;0.165397
0.3404417;0.165231
0.3423069;0.165441
0.3423069;0.16602
0.3416852;0.166661
0.33982;0.166917
0.3379634;0.166533
0.3348834;0.165521
0.3318177;0.164231
0.3293793;0.163039
0.3209515;0.162006
0.3143997;0.161123
0.3050497;0.160335
0.2992816;0.15962
0.2947248;0.158955
0.2885351;0.158326
0.2840774;0.157721
0.2813187;0.157138
0.2785736;0.156582
0.2769347;0.156057
0.2769347;0.15556
0.2769347;0.155083
0.2769347;0.154616
0.2769347;0.154151
0.2769347;0.153689
0.2769347;0.153228
0.2769347;0.15277
0.2769347;0.152313
0.2769347;0.151858
0.2769347;0.151404
0.2785736;0.150953
0.2791199;0.150503
0.2791199;0.150055
0.2807669;0.149609
0.281316;0.149164
0.281316;0.148721
0.2829712;0.14828
0.2840774;0.147841
0.2840774;0.147403
0.2835229;0.146967
0.2835229;0.146533
0.2840774;0.146101
0.2857408;0.14567
0.2857408;0.145241
0.2874124;0.144813
0.2879696;0.144387
0.2879696;0.143963
0.2896495;0.143541
0.2902094;0.14312
0.2918975;0.1427
0.2930256;0.142283
0.294722;0.141867
0.294722;0.141452
0.2952903;0.14104
0.2969948;0.140628
0.2969948;0.140219
0.2969948;0.139811
0.2969948;0.139404
0.2975658;0.139
0.2975658;0.138596
0.2987078;0.138195
0.2992788;0.137794
0.2992788;0.137396
0.2992788;0.136999
0.2981368;0.136603
0.2992788;0.136209
0.2992788;0.135817
0.2992788;0.135426
0.2975658;0.135036
0.2987078;0.134649
0.2992788;0.134262
0.2992788;0.133878
0.2992788;0.133494
0.2992788;0.133112
0.2992788;0.132731
0.2992788;0.132351
0.2992788;0.131973
0.2992788;0.131597
0.2992788;0.131223
0.2992788;0.130849
0.2992788;0.130477
0.2992788;0.130107
0.2987078;0.129738
0.2969948;0.12937
0.2947248;0.129004
0.2857572;0.128639
0.2829712;0.128275
0.2791227;0.127913
0.2763912;0.127552
0.2742196;0.127193
0.2709826;0.126835
0.2704444;0.126478
0.268838;0.126123
0.2683025;0.125769
0.2667042;0.125416
0.2656413;0.125065
0.2640511;0.124715
0.2624689;0.124366
0.2614168;0.124019
0.2598426;0.123673
0.2582764;0.123328
0.257235;0.122984
0.2556767;0.122642
0.2541266;0.122302
0.2536098;0.121962
0.2530957;0.121624
0.2515535;0.121287
0.2515535;0.120951
0.2515535;0.120617
0.2500192;0.120283
0.2495077;0.119951
0.2495077;0.119621
0.2495077;0.119291
0.2479813;0.118963
0.2490068;0.118636
0.2490068;0.11831
0.2474725;0.117986
0.2474725;0.117662
0.2474725;0.11734
0.2474725;0.117019
0.2474725;0.116699
0.2474725;0.116381
0.2474725;0.116064
0.2474725;0.115747
0.2474725;0.115432
0.2474725;0.115119
0.249513;0.114806
0.2474725;0.114494
0.2474725;0.114184
0.2474725;0.113875
0.2474725;0.113567
0.2490068;0.11326
0.2490068;0.112954
0.2479813;0.11265
0.2479813;0.112346
0.2474725;0.112044
0.2474725;0.111743
0.2474725;0.111442
0.245954;0.111143
0.2449443;0.110846
0.2439373;0.110549
0.2434364;0.110253
0.241931;0.109994
0.2439399;0.109843
0.2414301;0.109871
0.2429328;0.110096
0.2414327;0.110399
0.2414327;0.110569
0.2414327;0.110439
0.239437;0.109968
0.2404335;0.109297
0.2379499;0.108619
0.2374542;0.108019
0.2369611;0.107512
0.2354819;0.107059
0.2349915;0.106646
0.23352;0.106264
0.23352;0.105902
0.23352;0.105554
0.2320564;0.105218
0.2315685;0.104895
0.2315685;0.104588
0.2310832;0.104296
0.2296273;0.104017
0.2296273;0.103743
0.2296273;0.103472
0.2296273;0.103203
0.2291446;0.102934
0.2286619;0.102666
0.2276966;0.102399
0.2276966;0.102133
0.2276966;0.101868
0.2262562;0.101604
0.225776;0.101341
0.225776;0.101079
0.225776;0.100818
0.225776;0.100557
0.225776;0.100298
0.2243433;0.10004
0.2238658;0.099782
0.2238658;0.099526
0.2238658;0.09927
0.2238658;0.099016
